Model Name,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Log Loss,Matthews Corrcoef,Cohen Kappa,Balanced Accuracy,CV Score,Training Time,Prediction Time,Best Parameters,Notes,Top Model
HistGradientBoosting,0.7953091684434968,0.6442953020134228,0.5133689839572193,0.5714285714285714,0.837980338663671,0.4235136969615269,0.44411471867502045,0.43922502075837255,0.7053776187937113,0.8463992161118176,9.133562299888581,0.014104699715971947,"{""model__min_samples_leaf"": 30, ""model__max_iter"": 200, ""model__max_depth"": 3, ""model__learning_rate"": 0.03}",Fast histogram-based boosting,True
AdaBoost,0.7960199004975125,0.6526315789473685,0.49732620320855614,0.5644916540212443,0.8367120323443996,0.5556107729775352,0.44130675718205753,0.43446731453588283,0.7007444181580051,0.8434385805793323,10.255510000046343,0.0624247002415359,"{""model__n_estimators"": 200, ""model__learning_rate"": 1.0}",Boosting with shallow trees,False
Gradient Boosting,0.7896233120113717,0.6308724832214765,0.5026737967914439,0.5595238095238095,0.8364842548829794,0.42615796607049883,0.428364223144666,0.4236479380016607,0.6980939167887519,0.8457817422076819,11.941274599637836,0.0030279001221060753,"{""model__subsample"": 1.0, ""model__n_estimators"": 200, ""model__max_depth"": 2, ""model__learning_rate"": 0.05}",Classic boosting baseline,False
Stacking Classifier,0.7860696517412935,0.6237288135593221,0.4919786096256685,0.5500747384155455,0.835913517039307,0.43523752110817915,0.4172983624780744,0.4123043533165053,0.6922622961003463,0.8456076348117616,133.91594470012933,0.06567429983988404,"{""model__passthrough"": false, ""model__final_estimator__C"": 1.0}",Stacked ensemble using logistic meta-learner,False
Random Forest,0.7420042643923241,0.5095320623916811,0.786096256684492,0.6182965299684543,0.8348587520901171,0.49592727603059616,0.459986504469457,0.43655490969826605,0.7560684574806777,0.8430608080202774,31.002566299866885,0.1079343999736011,"{""model__n_estimators"": 400, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 8, ""model__class_weight"": ""balanced""}",Strong non-linear tree ensemble,False
XGBoost,0.7860696517412935,0.6151419558359621,0.5213903743315508,0.5643994211287988,0.8347319214581899,0.4279860556125641,0.42644018545397533,0.4238948418015538,0.7016438802925905,0.8458894458526001,15.873403099831194,0.006572500336915255,"{""model__subsample"": 0.8, ""model__n_estimators"": 400, ""model__max_depth"": 3, ""model__learning_rate"": 0.03, ""model__colsample_bytree"": 0.8}",Optional gradient boosting library,False
Voting Classifier,0.7874911158493249,0.6213592233009708,0.5133689839572193,0.5622254758418741,0.8342517769230372,0.42860835770018346,0.4269542217753122,0.42358898895524966,0.7000533206330143,0.8437507591892264,11.36341129988432,0.05559219978749752,"{""model__weights"": [2, 1, 1]}",Soft-voting ensemble built from strong base learners,False
MLP Classifier,0.7910447761194029,0.6324503311258278,0.5106951871657754,0.5650887573964497,0.8303614414171899,0.43421296373655816,0.4338765890520394,0.42962290895653266,0.7016205848703998,0.8406929474357623,41.539265600033104,0.002305499743670225,"{""model__learning_rate_init"": 0.001, ""model__hidden_layer_sizes"": [32], ""model__alpha"": 0.0001}",Neural network baseline,False
Extra Trees,0.728500355366027,0.49328859060402686,0.786096256684492,0.6061855670103092,0.8303433227554862,0.5081389335785989,0.4414221632877947,0.4151419723128418,0.7468719424758374,0.8405504223116603,23.05349380010739,0.09282740019261837,"{""model__n_estimators"": 400, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 8, ""model__class_weight"": ""balanced""}",Randomized tree ensemble with low bias,False
Logistic Regression,0.7846481876332623,0.6148867313915858,0.5080213903743316,0.5563689604685212,0.8302527294469667,0.4338129825407857,0.41918177563112785,0.41587780486100545,0.6964114696305346,0.8390126086146721,5.025473699904978,0.005558200180530548,"{""model__solver"": ""liblinear"", ""model__class_weight"": null, ""model__C"": 10.0}",Linear baseline with calibrated probabilities,False
SGD Classifier,0.783226723525231,0.6202090592334495,0.47593582887700536,0.5385779122541604,0.8299576540992177,0.4342930722826177,0.40609532579230684,0.40010568238529054,0.6852089599370506,0.8365046523115793,0.7244830001145601,0.0021411003544926643,"{""model__penalty"": ""elasticnet"", ""model__loss"": ""log_loss"", ""model__class_weight"": null, ""model__alpha"": 0.001}",Fast linear online learner,False
Linear SVM,0.7242359630419332,0.4885245901639344,0.7967914438502673,0.6056910569105691,0.8273459784336158,,0.4410473064994375,0.4118602726974989,0.747379265003546,0.8378999408844656,0.37029540026560426,0.003417499829083681,"{""model__class_weight"": ""balanced"", ""model__C"": 10.0}",Margin-based linear classifier,False
Ridge Classifier,0.7242359630419332,0.4884488448844885,0.7914438502673797,0.6040816326530613,0.8255858798680962,,0.438350736033314,0.4101852692173056,0.7456735224231381,0.8368471984905295,0.2620500000193715,0.004018499981611967,"{""model__class_weight"": ""balanced"", ""model__alpha"": 1.0}",Regularized linear margin model,False
RBF SVM,0.6631130063965884,0.43243243243243246,0.8556149732620321,0.5745062836624776,0.8235514129967749,0.44699892624365484,0.3972689978194746,0.34221079853789105,0.7245161023134943,0.8343959283163409,66.40148149989545,0.3693566001020372,"{""model__gamma"": 0.01, ""model__class_weight"": ""balanced"", ""model__C"": 0.1}",Non-linear kernel classifier,False
Decision Tree,0.7803837953091685,0.6109215017064846,0.4786096256684492,0.5367316341829086,0.816683146020883,0.45853736796921557,0.4006397319721169,0.39557906590389336,0.6841257228051829,0.8312413452428192,0.48405889980494976,0.0016131000593304634,"{""model__min_samples_split"": 5, ""model__min_samples_leaf"": 2, ""model__max_depth"": 5, ""model__class_weight"": null}",Highly interpretable tree baseline,False
Gaussian NB,0.7178393745557925,0.4813614262560778,0.7941176470588235,0.5993945509586277,0.816591258522242,0.861555361730924,0.431201676010817,0.40119379816706524,0.7421701497636808,0.8270307805679951,0.1985185998491943,0.0026087001897394657,"{""model__var_smoothing"": 1e-12}",Probabilistic baseline,False
Bernoulli NB,0.7732764747690121,0.5675675675675675,0.6176470588235294,0.5915492957746479,0.8107531668832278,0.5414525011952579,0.4357707323456189,0.43502582351393637,0.7236347588406127,0.8179456137083255,0.33179879980161786,0.006480599753558636,"{""model__binarize"": 0.75, ""model__alpha"": 0.5}",Binary-feature probabilistic baseline,False
Passive Aggressive,0.7491115849324804,0.524822695035461,0.5935828877005348,0.5570890840652447,0.8046251766569517,,0.3844107011435681,0.38299822975868825,0.6995019956411677,0.7671621304266845,0.28573619993403554,0.0030188998207449913,"{""model__loss"": ""squared_hinge"", ""model__class_weight"": null, ""model__C"": 0.01}",Aggressive large-margin classifier,False
KNN,0.7746979388770433,0.5946843853820598,0.4786096256684492,0.5303703703703704,0.8027447184101133,0.6249093655701607,0.38836391174942725,0.3844422331926075,0.6802535059610397,0.8134548575963463,0.8937304001301527,0.04133679997175932,"{""model__weights"": ""uniform"", ""model__p"": 1, ""model__n_neighbors"": 11}",Instance-based classifier,False
Bagging Classifier,0.7640369580668088,0.5704697986577181,0.45454545454545453,0.5059523809523809,0.8003918807688525,0.4863163481595819,0.35748699325807076,0.3535510655964572,0.6653172577664349,0.8147979139504564,10.025735199917108,0.1331214001402259,"{""model__n_estimators"": 100, ""model__max_samples"": 1.0, ""model__max_features"": 0.7}",Bootstrap aggregation ensemble,False
